Amostra,X_barra,R
1,4.953999999999999,0.014000000000000234
2,4.942,0.031000000000000583
3,4.951,0.041999999999999815
4,4.961,0.041999999999999815
5,4.957,0.014000000000000234
6,4.9590000000000005,0.017999999999999794
7,4.952,0.016000000000000014
8,4.959,0.020000000000000462
9,4.953999999999999,0.05600000000000005
10,4.954,0.03599999999999959
11,4.967,0.016000000000000014
12,4.9590000000000005,0.03200000000000003
13,4.970000000000001,0.011999999999999567
14,4.963,0.016000000000000014
15,4.970000000000001,0.020000000000000462
16,4.952,0.018000000000000682
17,4.976,0.010000000000000675
18,4.970999999999999,0.006999999999999673
19,4.971,0.01100000000000012
20,4.971000000000001,0.008000000000000007
